state_name,total_population,pct_white,pct_black,pct_native,pct_asian,pct_two_or_more,male_pop,female_pop,pct_male,pct_female,pct_18_29,pct_30_44,pct_45_64,pct_65_plus,pct_hs_or_less,pct_some_college,pct_assoc,pct_bachelor,pct_grad,urban_pop,rural_pop,pct_urban,pct_rural
Alabama,5054253,0.6535822405407882,0.260870795,0.004449916,0.014239295104538693,0.066350458,2453419,2600834,0.485416737,0.5145832628481399,0.1585874312188171,0.1884043002991738,0.21468118038412404,0.2151485095819303,0.11871959,0.5140738833199644,0.08965514,0.16964465409352197,0.10790673206697093,2982009,2072244,0.59,0.41
Alaska,733971,0.6070335203979449,0.031028473877033287,0.13791553072260349,0.06417011,0.14434902741388966,385319,348652,0.5249785073252213,0.4750214926747787,0.16840447374623793,0.21766391315188202,0.20124500831776732,0.16954620822893549,0.065287567,0.5309518490355665,0.091337827,0.19633615698202306,0.11608659918057483,484421,249550,0.66,0.34
Arizona,7268175,0.6320228943304199,0.046357029102904096,0.040834735,0.034371214,0.2444282092822476,3628694,3639481,0.49925792926009627,0.5007420707399037,0.1631812662738583,0.19375978151324094,0.20155898832925734,0.22208037093218036,0.10911000668652654,0.4727889227679134,0.091997749,0.2002822086897594,0.1258211132736068,6468676,799499,0.89,0.11
Arkansas,3032651,0.708583348,0.14908639338980978,0.005570374,0.015599882742854353,0.11718987776700979,1495958,1536693,0.49328392881343747,0.5067160711865625,0.1573748512440106,0.19180644261406934,0.20709834399012614,0.2109606413662502,0.11442381979656313,0.5547571435071992,0.079705291,0.15883566667433222,0.092278079,1698285,1334366,0.56,0.44
California,39242785,0.4395401345750563,0.055381977,0.011345244737344712,0.15281965844167278,0.33714600021379726,19605882,19636903,0.49960475537095544,0.5003952446290445,0.1636594854315258,0.21364342515445833,0.21317317310685263,0.18708781754404027,0.15400747954860805,0.401738742,0.079223203,0.22402897599431176,0.14100159911225923,37280646,1962139,0.95,0.05
Colorado,5810774,0.7346325979981324,0.040095347,0.010080584789565038,0.032273497472109565,0.18142987491855647,2942568,2868206,0.5063986312322593,0.49360136876774074,0.16789037054271944,0.22402970757424054,0.2072587920301151,0.1872726421643657,0.072413901,0.39698068655606217,0.083325533,0.2767771671601626,0.17050271212276533,5113481,697293,0.88,0.12
Connecticut,3598348,0.6756828411259833,0.10692489998188058,0.002659276,0.047509023585267464,0.16672206245754997,1765117,1833231,0.49053537901281363,0.5094646209871864,0.1539942773739505,0.1885876518891447,0.23111522287449685,0.22232090948401878,0.086680514,0.41758641342391367,0.076283938,0.22975474691977782,0.18969438810700817,3130563,467785,0.87,0.13
Delaware,1005872,0.6181691109803236,0.21935693607138881,0.003722144,0.040923696056754735,0.11742746592011707,487585,518287,0.4847386148535798,0.5152613851464202,0.14595197003197227,0.18657642324271875,0.21375085497956003,0.24455298487282676,0.086064732,0.47752807407219733,0.083632443,0.20316788703370578,0.1496068644590269,834874,170998,0.83,0.17
District of Columbia,672079,0.39065199180453486,0.43264556696459794,0.003041309,0.040865732,0.13223296666016943,320001,352078,0.47613598996546536,0.5238640100345346,0.2014167977276481,0.27889429665262566,0.17640783300772678,0.15628668653536265,0.07153297,0.26356403512755827,0.029266772,0.2607461509560162,0.37489007155154974,672079,0,1,0
Florida,21928881,0.5990593409668282,0.15339446641166962,0.003045253,0.028644279660234372,0.21525763216098442,10773620,11155261,0.49129821079333685,0.5087017892066631,0.14231501370270558,0.19017915232427957,0.22002705017187152,0.2511456466930529,0.1036849210226255,0.4633100612171417,0.10090207131108378,0.2072745126132952,0.12482843383585382,19955282,1973599,0.91,0.09
Georgia,10822590,0.5246000264262066,0.3133897708404365,0.003886131,0.043697026312555495,0.11374901941217398,5281762,5540828,0.48803123836346013,0.5119687616365398,0.163353966,0.20269963104949923,0.2182369469784959,0.18082372149365356,0.11048081775140424,0.46413637830102056,0.083333104,0.20730202149161872,0.13474767891069425,8116942,2705648,0.75,0.25
Hawaii,1445635,0.22506095937079554,0.019188799385737063,0.002652813,0.3727130292224524,0.2772947528248832,727473,718162,0.5032203841218564,0.4967796158781435,0.14654944,0.20102515503567636,0.2060921325230781,0.2377937722869189,0.071007864,0.4644868209599251,0.10980862431632421,0.22450068185070146,0.13019600895896338,1344441,101194,0.93,0.07
Idaho,1893296,0.833477702,0.007451555,0.011372759462862647,0.013193393954246985,0.13286828895217653,952080,941216,0.5028690706577312,0.4971309293422687,0.16249757037462711,0.1951913488434983,0.19491616736104656,0.20275963188006524,0.083234283,0.5073297120754404,0.097593141,0.2080157901631334,0.10382707328265502,1363173,530123,0.72,0.28
Illinois,12692653,0.6333200789464583,0.13790765413660958,0.005277856,0.058168138686214774,0.1648918472757429,6270399,6422254,0.4940179960800945,0.5059820039199054,0.15769760663905333,0.20071052127557573,0.21741041845231254,0.2028818561415017,0.097420905,0.44774298695432807,0.082981189,0.2230560316993315,0.14879888751147638,11042608,1650045,0.87,0.13
Indiana,6811752,0.785066456,0.092587047,0.002526222,0.025387888,0.094088129,3377011,3434741,0.49576247050685346,0.5042375294931466,0.16216694324749345,0.1913585521023079,0.21060205949952376,0.20156106681511599,0.097745401,0.5235608329692427,0.090692351,0.1832378363013302,0.10476357794961687,4904461,1907291,0.72,0.28
Iowa,3195937,0.8558563576190644,0.038559583621329205,0.003441244,0.024489531552092547,0.076277786,1601453,1594484,0.5010902905783187,0.49890970942168134,0.16189555676472972,0.18779969692769288,0.2027045589446851,0.2171266204559101,0.067797537,0.5030166187334032,0.120554026,0.20621581367882658,0.10241600466438307,2045400,1150537,0.64,0.36
